Nombre,Año de nacimiento,Óscar,Famoso por,Profesión
Lee Murphy,Desconocido,Nominado,,Sonido
Coraly Ortiz-Mosher,Desconocido,Nominado,,Reparto
Conor Rabinovitz,Desconocido,Nominado,,"Producción, Dirección, Reparto"
Erin Sevilla,Desconocido,Nominado,,Reparto
Mabel Fonseca,Desconocido,Nominado,,Reparto
Linda González,Desconocido,Nominado,,Reparto
Nikolai Fernandez,Desconocido,No tiene Oscar,,"Reparto, Producción, Guion"
Daniel Wargo,Desconocido,Nominado,,"Reparto, Producción, Guion"
Linh Bui,Desconocido,No tiene Oscar,,"Reparto, Guion, Dirección"
Xinhua Eynon,Desconocido,Nominado,,"Reparto, Dirección de fotografía y cámara"
Delaney Knottnerus,Desconocido,Nominado,,"Reparto, Guion"
Peter Lansdaal,Desconocido,Nominado,,Reparto
Jahleel Richards,Desconocido,Nominado,,"Cámara y electricidad, Reparto, Guion"
Ryan Tucker,Desconocido,Nominado,,Reparto
D.J. Walker,Desconocido,Nominado,,"Dirección, Edición, Reparto"
My Northwest Nightmare,Desconocido,No tiene Oscar,Sin datos,2016
Penelope Goranson,Desconocido,No tiene Oscar,,"Reparto, Composición, Producción"
Aileigh Karson,Desconocido,No tiene Oscar,,"Reparto, Dirección, Guion"
Julie Mainville,Desconocido,No tiene Oscar,,"Reparto, Equipos adicionales, Guion y continuidad"
ScareCam,Desconocido,No tiene Oscar,Sin datos,2016
Andrew J.D. Robinson,Desconocido,Nominado,,"Dirección, Guion, Reparto"
ChatGurl,Desconocido,No tiene Oscar,Sin datos,2016
John Goodman,1952,No tiene Oscar,,"Reparto, Producción, Banda sonora"
Mary Elizabeth Winstead,1984,No tiene Oscar,,"Reparto, Producción, Banda sonora"
John Gallagher Jr.,1984,No tiene Oscar,,"Reparto, Producción, Banda sonora"
Douglas M. Griffin,1966,No tiene Oscar,,Reparto
Suzanne Cryer,1967,No tiene Oscar,,Reparto
Bradley Cooper,1975,No tiene Oscar,,"Reparto, Producción, Dirección"
Sumalee Montano,agosto,No tiene Oscar,,"Reparto, Producción, Equipo ejecutivo"
Frank Mottek,Desconocido,No tiene Oscar,,"Reparto, Equipos adicionales"
Kayla Bechor,1999,No tiene Oscar,,"Reparto, Producción, Responsable"
Robert Kazinsky,1983,No tiene Oscar,,"Reparto, Producción, Banda sonora"
Hannah Simone,1980,No tiene Oscar,,"Reparto, Producción, Guion"
Cassandra Hierholzer,Desconocido,No tiene Oscar,,"Reparto, Producción, Casting"
Andrew Rosas,Desconocido,No tiene Oscar,,"Guion, Dirección, Reparto"
Crypt TV's Bishop Takes Queen,Desconocido,No tiene Oscar,Sin datos,2016
Nicola Dalziel,Desconocido,Nominado,,Reparto
Lisa Di Venuta,Desconocido,Nominado,,Reparto
Alexei Taylor-Maughan,Desconocido,Nominado,,"Reparto, Dirección de producción"
Night Hike,Desconocido,No tiene Oscar,Sin datos,2023
Dominic Monaghan,1976,No tiene Oscar,,"Reparto, Producción, Guion"
Ksenia Solo,Desconocido,No tiene Oscar,,"Reparto, Producción, Dirección"
Jennette McCurdy,1992,No tiene Oscar,,"Reparto, Guion, Producción"
Da'Vone McDonald,Desconocido,No tiene Oscar,,"Reparto, Guion"
Nathan Parsons,1988,No tiene Oscar,,Reparto
Janet Song,Desconocido,No tiene Oscar,,"Reparto, Equipos adicionales"
Gary J. Tunnicliffe,1968,No tiene Oscar,,"Maquillaje, Efectos especiales, Reparto"
Denise Garcia,Desconocido,No tiene Oscar,,"Reparto, Producción, Dirección"
John Ross Bowie,mayo,No tiene Oscar,,"Reparto, Guion, Música"
Sean Blakemore,1967,No tiene Oscar,,"Reparto, Producción"
Bharat Misra,Desconocido,Nominado,,"Guion, Producción, Dirección"
Aditi Rao,1986,No tiene Oscar,,"Reparto, Música"
Adam DeFilippi,1990,No tiene Oscar,,Reparto
Inflicted,Desconocido,No tiene Oscar,Sin datos,2016
Shantel Lyles,Desconocido,Nominado,,Reparto
William Watson,1938,No tiene Oscar,,Reparto
Thats not me,Desconocido,No tiene Oscar,Sin datos,2016
Brian Williamson,Desconocido,Nominado,,"Reparto, Sonido"
William Annetts Burke,Desconocido,Nominado,,"Dirección de fotografía y cámara, Producción, Reparto"
Armand Kayitankore,Desconocido,Nominado,,"Equipos adicionales, Reparto"
Roman Bobyr,Desconocido,Nominado,,"Dirección de fotografía y cámara, Reparto, Edición"
Liliya Dryhus,Desconocido,Nominado,,Reparto
Alexander Gorbunov,Desconocido,Nominado,,Reparto
Yuliya Malikova,Desconocido,Nominado,,"Dirección, Reparto"
Evgeniy Regulyan,Desconocido,Nominado,,Reparto
Dany Ryabchuk,Desconocido,Nominado,,Reparto
Oleg Simonenko,Desconocido,Nominado,,Reparto
Eugeniy Uhnovec,Desconocido,Nominado,,Reparto
George Brown,1936,No tiene Oscar,,"Reparto, Guion, Equipos adicionales"
Lauren Meley,Desconocido,No tiene Oscar,,"Reparto, Producción"
Kelli Ruttle,Desconocido,No tiene Oscar,,"Reparto, Equipos adicionales"
Eric Elizaga,1969,No tiene Oscar,,"Reparto, Producción, Dirección"
Tim Eliot,Desconocido,No tiene Oscar,,"Reparto, Producción, Guion"
Mary Marquiss Ashley,Desconocido,No tiene Oscar,,"Reparto, Producción, Guion"
Christian Bravo,Desconocido,Nominado,,"Dirección de fotografía y cámara, Edición"
Gerard Adimando,Desconocido,No tiene Oscar,,"Reparto, Casting, Equipos adicionales"
Michael Ionescu Bailey,Desconocido,Nominado,,"Reparto, Guion"
Katherine Bar,febrero,No tiene Oscar,,"Reparto, Dirección, Guion"
Rendy Herpy,Desconocido,Nominado,,"Reparto, Dirección, Producción"
Irwansyah,1985,No tiene Oscar,,"Reparto, Producción, Dirección"
Ressa Rere,Desconocido,Nominado,,Reparto
Hamas Syahid,Desconocido,Nominado,,Reparto
Forbidden Sex Wet Dream,Desconocido,No tiene Oscar,Sin datos,Sin datos
Norberto Trujillo B.,Desconocido,Nominado,,"Reparto, Guion, Dirección"
Isauro Vega,Desconocido,Nominado,,Reparto
Andrés Quesada,Desconocido,Nominado,,"Reparto, Guion, Sonido"
Jonathan González,Desconocido,Nominado,,Reparto
Ricky Hunt,Desconocido,Nominado,,"Reparto, Guion"
Danielle Kelly,Desconocido,Nominado,,Sin datos
Abbie Murphy,Desconocido,No tiene Oscar,,"Reparto, Guion, Dirección"
The Ballet Exam,Desconocido,No tiene Oscar,Sin datos,2017
Martavious Cerrone Gayles,Desconocido,No tiene Oscar,,"Reparto, Equipos adicionales, Guion"
Jacob Thomas,1969,No tiene Oscar,,"Reparto, Producción, Guion"
Andres Uribe,Desconocido,Nominado,,"Cámara y electricidad, Efectos visuales, Producción"
The Wolf of Guacotle,Desconocido,No tiene Oscar,Sin datos,2017
Sarah McLean,febrero,No tiene Oscar,,"Reparto, Guion, Producción"
Lewie Bartone,Desconocido,No tiene Oscar,,"Reparto, Guion, Producción"
Nicole Serrat,Desconocido,No tiene Oscar,,"Reparto, Producción, Guion"
Wenting Hao,Desconocido,Nominado,,Reparto
Fangxi Shen,Desconocido,Nominado,,Reparto
Haoyu Wang,Desconocido,Nominado,,Reparto
Kofi Adjorlolo,Desconocido,Nominado,,Reparto
Hellen Atim,Desconocido,Nominado,,"Producción, Reparto, Casting"
Qwasi Blay Jr.,Desconocido,Nominado,,Reparto
Umar Krupp,Desconocido,Nominado,,"Reparto, Producción, Guion"
Queen Latisha Okoye,Desconocido,No tiene Oscar,,Reparto
Juanjo Martínez,Desconocido,Nominado,,"Guion, Producción, Edición"
Sebastian Alonso,Desconocido,Nominado,,Reparto
Denise Depauli,Desconocido,Nominado,,"Reparto, Dirección de casting, Casting"
Nacho D'Onofrio,Desconocido,Nominado,,"Reparto, Casting, Producción"
Soledad Depauli,Desconocido,Nominado,,Reparto
Nicolas Moyano,Desconocido,No tiene Oscar,,"Reparto, Cámara y electricidad, Casting"
Alejandro Destefani,Desconocido,Nominado,,Reparto
Macarena Ferreira,Desconocido,No tiene Oscar,,"Reparto, Casting, Cámara y electricidad"
Yamila Pelullo,Desconocido,Nominado,,Reparto
Matías Alarcón,Desconocido,Nominado,,"Reparto, Dirección de fotografía y cámara"
Tony Cole,Desconocido,No tiene Oscar,,"Reparto, Dirección, Guion"
E.J. Lake,Desconocido,Nominado,,Reparto
Thomas Sandford,Desconocido,No tiene Oscar,Sin datos,"Vídeo, 2000"
Nathan Tarver,Desconocido,No tiene Oscar,,"Reparto, Especialistas, Arte"
Alex Kaufmann,Desconocido,No tiene Oscar,,"Reparto, Dirección de fotografía y cámara, Cámara y electricidad"
Shamoon Abbasi,Desconocido,Nominado,,"Reparto, Dirección, Guion"
Asad Malik,Desconocido,No tiene Oscar,,"Reparto, Producción, Dirección"
Adnan Siddiqui,1969,No tiene Oscar,,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección"
Maria Wasti,Desconocido,Nominado,,Reparto
Taylor Huff,Desconocido,Nominado,,Reparto
Nil Santana,Desconocido,Nominado,,Reparto
Yuliiya Barbashova,Desconocido,Nominado,,Reparto
Jon Weinberg,Desconocido,No tiene Oscar,,"Reparto, Dirección, Producción"
Emily Wyman,Desconocido,Nominado,,"Reparto, Localización, Equipos adicionales"
Laki Karavias,Desconocido,Nominado,,"Dirección, Edición, Guion"
Terezie Vraspírová,Desconocido,No tiene Oscar,,"Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección"
Felix Culpa - Happy Fault,Desconocido,No tiene Oscar,Sin datos,2017
Jonathan Adonai,Desconocido,Nominado,,Reparto
Jannet Chavez,Desconocido,Nominado,,Reparto
Atilano del Angel,Desconocido,Nominado,,Reparto
Luis Fernando Del Angel,Desconocido,Nominado,,"Guion, Reparto, Producción"
Alejandra Estrada,Desconocido,No tiene Oscar,,Reparto
Ines Grajeda,Desconocido,Nominado,,Reparto
Berenice Ornelas,Desconocido,Nominado,,Reparto
Litzy Paola,Desconocido,Nominado,,Reparto
Aline Suarez,Desconocido,Nominado,,Reparto
Tania Varela,Desconocido,Nominado,,Reparto
Aaron Green,Desconocido,No tiene Oscar,,"Reparto, Producción, Guion"
Alex Seradj,Desconocido,Nominado,,"Dirección, Reparto, Guion"
Mason Dodson,Desconocido,Nominado,,"Equipos adicionales, Reparto, Dirección"
Sydney K.,Desconocido,No tiene Oscar,,"Producción, Edición, Dirección"
Addie Wilder Smith,Desconocido,Nominado,,Reparto
Lee Byfieldt,Desconocido,Nominado,,"Sonido, Reparto"
Fruit Town,Desconocido,No tiene Oscar,Sin datos,2024
Estrella Carmona,Desconocido,Nominado,,Reparto
Óscar de la Casa,1973,No tiene Oscar,,"Producción, Reparto, Banda sonora"
Jose Montero,Desconocido,Nominado,,"Dirección de fotografía y cámara, Guion, Cámara y electricidad"
Rafael Ramírez,Desconocido,No tiene Oscar,,"Cámara y electricidad, Banda sonora"
Anna Brisbin,1991,No tiene Oscar,,"Reparto, Edición, Producción"
Tessa Netting,1990,No tiene Oscar,,Reparto
Tim Jennings,Desconocido,Nominado,,"Producción, Guion, Reparto"
Grey Griffin,1973,No tiene Oscar,,"Reparto, Música, Guion"
Candi Milo,1961,No tiene Oscar,,"Reparto, Música, Producción"
Natalie Deeble,Desconocido,Nominado,,Reparto
Nathan Topow,Desconocido,No tiene Oscar,,"Reparto, Producción"
Megan Decino,Desconocido,Nominado,,Reparto
Sara Donnellan,Desconocido,Nominado,,"Reparto, Composición"
Lucas Francy,Desconocido,Nominado,,"Cámara y electricidad, Dirección, Reparto"
Daniel Frye,Desconocido,Nominado,,Reparto
Sarah Harper,Desconocido,No tiene Oscar,,"Reparto, Guion"
Paul Southard,Desconocido,Nominado,,Reparto
Hunter Zimny,Desconocido,Nominado,,"Cámara y electricidad, Dirección de fotografía y cámara, Reparto"
Jason Morciglio,Desconocido,No tiene Oscar,,"Reparto, Producción, Guion"
Diego Alione,Desconocido,No tiene Oscar,,"Reparto, Guion, Dirección"
Kim Nail,Desconocido,Nominado,,Reparto
Chester Whitmore,Desconocido,Nominado,,"Equipos adicionales, Reparto, Especialistas"
Tango Mask,Desconocido,No tiene Oscar,Sin datos,2017
Vimal Kaushik,Desconocido,Nominado,,"Dirección, Reparto, Guion"
Jai Braithwaite,Desconocido,No tiene Oscar,,"Reparto, Producción"
Fraser Simpson,1908,No tiene Oscar,,"Reparto, Banda sonora"
Andy Wong,Desconocido,Nominado,,"Animación, Efectos visuales"
David Lodge,1921,No tiene Oscar,,"Reparto, Banda sonora"
John Snyder,1952,No tiene Oscar,,Reparto
Kira Buckland,1987,No tiene Oscar,,"Reparto, Dirección, Dirección de casting"
Kyle Hebert,1969,No tiene Oscar,,"Reparto, Dirección, Guion"
Max Koch,agosto,No tiene Oscar,,"Reparto, Dirección, Guion"
Matthew Mercer,1982,No tiene Oscar,,"Reparto, Dirección, Producción"
Michael Donovan,1953,Nominado,,"Reparto, Equipos adicionales, Dirección de casting"
Orion Acaba,1980,No tiene Oscar,,"Reparto, Equipos adicionales, Dirección"
Patrick Seitz,1978,Nominado,,"Reparto, Equipos adicionales, Guion"
Tom Bromhead,Desconocido,No tiene Oscar,,"Reparto, Sonido, Equipos adicionales"
Soleiman Hajebi,Desconocido,Nominado,,Reparto
Mohammad Mozafari,Desconocido,Nominado,,"Dirección, Guion, Producción"
Matt Savarese,Desconocido,Nominado,,"Reparto, Sonido"
Ci Song,Desconocido,No tiene Oscar,Sin datos,2022
You Zhang,Desconocido,No tiene Oscar,,Reparto
Regina Reynoso,Desconocido,No tiene Oscar,,Reparto
Minerva Velazco,Desconocido,No tiene Oscar,,"Reparto, Equipos adicionales"
Qi Cao,Desconocido,Nominado,,Reparto
Ziye Meng,Desconocido,Nominado,,Reparto
Yusi Peng,Desconocido,No tiene Oscar,,Reparto
Kaiwen Zhou,Desconocido,No tiene Oscar,,Reparto
James Whitrow,Desconocido,No tiene Oscar,,"Reparto, Producción, Dirección"
Xiaowan Liu,Desconocido,Nominado,,Reparto
Zhuo Wen,Desconocido,No tiene Oscar,,"Reparto, Dirección"
Junchen Chu,Desconocido,No tiene Oscar,,Reparto
Bingyuan Li,Desconocido,No tiene Oscar,,"Reparto, Dirección"
Jiaxi Zhu,Desconocido,Nominado,,Reparto
Laura Jiménez de la Espada,1987,No tiene Oscar,,"Reparto, Producción, Dirección"
Ainhoa Capote,Desconocido,Nominado,,"Reparto, Sonido"
Idir De Luca,Desconocido,Nominado,,"Reparto, Guion, Dirección"
Rosana Lorenzo,Desconocido,Nominado,,"Reparto, Cámara y electricidad, Maquillaje"
Roby Singh,Desconocido,Nominado,,Reparto
Basak Savas,Desconocido,Nominado,,Reparto
Baskasi,Desconocido,No tiene Oscar,Sin datos,2017
Cameren MacLeod,Desconocido,Nominado,,Reparto
Ean Shawles,Desconocido,Nominado,,Reparto
Francis Kelly,1989,No tiene Oscar,,"Producción, Reparto"
Kahlil Kelly,Desconocido,Nominado,,Reparto
Rade Serbedzija,1946,Nominado,"El Santo, Batman Begins, Misión: Imposible 2, Snatch. Cerdos y diamantes","Reparto, Guion, Dirección"
Leon Lucev,1970,Nominado,"Krugovi, La carga, Nije kraj, En tierra de sangre y miel","Reparto, Dirección, Producción"
Bojan Brajcic,Desconocido,Nominado,"Ribanje i ribarsko prigovaranje, Crno-bijeli svijet, 2021 • 1 episodio, 2022, Mladi policajac",Reparto
Romina Tonkovic,Desconocido,Nominado,"F20, Piscina infinita, Ángel de la muerte, Canary Black",Reparto
Inge Appelt,Desconocido,No tiene Oscar,"Ljubav i poneka psovka, Fine mrtve djevojke, Dirigenti i muzikasi, 1990 • 5 episodios, 2011",Reparto
Lorenzo Damjanic,Desconocido,Nominado,Ribanje i ribarsko prigovaranje,Reparto
Filip Mayer,1997,Nominado,"F20, ZG80, Destination: Dewsbury, Success, 2019 • 6 episodios","Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección"
Gala Nikolic,febrero,No tiene Oscar,"The More I Insult, the More I Love You, Ribanje i ribarsko prigovaranje, Die Antwoord: Fat Faded Fuck Face, 2016","Reparto, Dirección, Guion"
Ana Ursula Najev,Desconocido,No tiene Oscar,"Balkanika 2, 5,4, Balkanika, 2022 • 1 episodio, 2020",Reparto
Giulio Settimo,Desconocido,Nominado,Ribanje i ribarsko prigovaranje,Reparto
Grazyna Misiorowska,Desconocido,Nominado,"Marygoround, En la ciénaga, 2018 • 1 episodio, Jezioro slone",Reparto
Helena Sujecka,1984,No tiene Oscar,"Las inocentes, Male stluczki, Cudowne lato, Yuma",Reparto
Sylwester Piechura,Desconocido,Nominado,"Transit, Marygoround, 80 milionów, Dom wybranych","Reparto, Guion, Dirección de arte"
Janusz Chabior,1963,Nominado,"Made in Poland, Carácter, Londynczycy, 2008–2009 • 6 episodios, 2019","Reparto, Música"
Magdalena Kolesnik,1990,Nominado,"Sweat, Inni ludzie, Cuervo. Susurros en la oscuridad, 2021–2022 • 12 episodios, 2023",Reparto
Krzysztof Zawadzki,Desconocido,No tiene Oscar,"Sila wyzsza, 2012 • 11 episodios, 2023, 2005, 2008","Reparto, Música"
Katarzyna Nosowska,1971,Nominado,"Nosowska: Ja pas!, Nosowska, Igo, Organek & Zalewski: Sobie i Wam, Bóg internetów, La semilla de la verdad","Música, Reparto, Guion"
Barbara Kurzaj,1975,Nominado,"3xLOVE, Panopticon, Ni una palabra, 2022 • 4 episodios, 2000","Reparto, Dirección, Dirección de la segunda unidad o asistencia a dirección"
Aaron Trout,Desconocido,Nominado,.357,Cámara y electricidad
Sarah Malfara,Desconocido,Nominado,"Sticky Fingers, I Win, Canned Meat Theatre",Reparto
Marc Lucia,Desconocido,Nominado,"No Vacancy, What Lies Behind the Walls, 2022, 2021, MarcFlorida ManHank","Reparto, Guion, Cámara y electricidad"
Bryson JonSteele,Desconocido,No tiene Oscar,"Estación 19, 2022 • 1 episodio, 2022, 2023, Henry",Reparto
Lino Meoli,Desconocido,Nominado,"Shades of the Ranebo, Approaching Heaven, Jim Carrey: I Needed Color, 2017","Reparto, Guion, Arte"
Ken Heusey,Desconocido,No tiene Oscar,"Bean: Lo último en cine catastrófico, Then Again, El visitante de la noche, Bloodstock","Cámara y electricidad, Diseño de producción, Dirección"
Brittni Geeves,Desconocido,No tiene Oscar,"Buttonwillow, Shades of the Ranebo","Reparto, Guion, Producción"
Tod Kent,Desconocido,Nominado,"Red, True Color, 2004, Dr. Taylor StaffordRadiologist Taylor Stafford, Captain LaCroix","Reparto, Dirección de la segunda unidad o asistencia a dirección"
Gavin Guerrero,Desconocido,Nominado,"Red, Daddy Daughter Trip, Spic",Reparto
Khaya Njumbe,Desconocido,Nominado,"Red, Where the Heck Is Ricky Saunders, Memories, Goodbye",Reparto
Mia Fuggiti,Desconocido,Nominado,Red,Reparto
Scott Sawa,Desconocido,No tiene Oscar,Sin datos,"Videoclip, 2006"
Vatonna Michelle,Desconocido,Nominado,Red,Reparto
Angelicque Cate,Desconocido,No tiene Oscar,"Chicago P.D., 2021 • 1 episodio, 2021, 2021, 2023",Reparto
Martin Davis,Desconocido,No tiene Oscar,"Infierno en Los Ángeles, Martin, 1995 • 1 episodio, Black Kid #2, Película de TV",Reparto
Daphne Nitsuga,Desconocido,Nominado,"The Hidden Driver, The Waystation, High On, 6,6",Reparto
Alexander Gordon Osborne,Desconocido,No tiene Oscar,"Pascal the Rascal, Spider-Man: Spider Verse Stop Motion, 2021 • 2 episodios, 2019, 2022 • 1 episodio","Reparto, Equipos adicionales"
Agnieszka Grochowska,1979,Nominado,"Obce niebo, Upperdog, El niño 44, American Dream","Reparto, Banda sonora"
Marthe Keller,1945,Nominado,"Marathon Man, Fedora, Más allá de la vida, Un instante, una vida","Reparto, Equipos adicionales, Banda sonora"
André Jung,1953,Nominado,"El experimento, Polizeiruf 110, 1996–2019 • 5 episodios, 2017, 2023",Reparto
Birgit Minichmayr,1977,Nominado,"El hundimiento, La cinta blanca, Entre nosotros, El perfume: Historia de un asesino",Reparto
Jacob Matschenz,1984,Nominado,"La ola, Das Lächeln der Tiefseefische, Bis aufs Blut - Brüder auf Bewährung, Till Eulenspiegel, 2014",Reparto
Anatole Taubman,1970,Nominado,"Capitán América: El primer vengador, Quantum of Solace, Venganza, El quinto poder","Reparto, Producción"
Cezary Pazura,1962,Nominado,"Kroll, Psy, Tres colores: Blanco, Tato","Reparto, Producción, Dirección"
Agata Rzeszewska,1956,No tiene Oscar,"Pierwsza milosc, 2007 • 24 episodios, 1977, Judge OstrowskaJudge, Janet",Reparto
Bruno Rajski,Desconocido,Nominado,"M jak milosc, 2019 • 1 episodio, 2020, Kamil, Kacper",Reparto
Iwo Rajski,2011,No tiene Oscar,"Na dobre i na zle, 2017–2018 • 5 episodios, 2020, 2018, 2021",Reparto
Herbert Nordrum,Desconocido,Nominado,"La peor persona del mundo, The Culture, 2018, Ole, Karl",Reparto
Bjørnar Bruun,Desconocido,No tiene Oscar,"El viaje, Mortal, ¡Caña al extraterrestre!, Magnus, 2019 • 4 episodios",Reparto
Bente Kvile Buflod,Desconocido,Nominado,"Fjols til fjells, Med lasskjørere til Rørosmart'n","Reparto, Música"
David Chocron,Desconocido,No tiene Oscar,"Las maravillas del mar, Svarta fåglar, Fifty-fifty, Øye for Øye","Reparto, Guion, Música"
Juan D'Amico,Desconocido,No tiene Oscar,Fjols til fjells,Reparto
Erlend E.B.,Desconocido,Nominado,"Fjols til fjells, Level Up VG",Reparto
Morten Enger,Desconocido,No tiene Oscar,"Essential Killing, Fjols til fjells",Reparto
Janne Formoe,Desconocido,No tiene Oscar,"Drømmen om kaptein Sabeltanns rike, Neste sommer, 2014–2023 • 102 episodios, 2014, Sunniva",Reparto
Meryl Streep,1949,Ganó 3 premios Óscar,"Memorias de África, Agosto, La decisión de Sophie, El diablo viste de Prada","Reparto, Guion, Producción"
James Corden,1978,Ganó 12 premios Primetime Emmy,"The Late Late Show with James Corden, 2015–2022 • 1042 episodios, 2014, 2016, 2018","Producción, Guion, Reparto"
Nicole Kidman,1967,Ganó 1 premio Óscar,"Moulin Rouge, Las horas, Cold Mountain, Los secretos del corazón","Reparto, Producción, Música"
Kerry Washington,1977,Ganó 1 premio Primetime Emmy,"Scandal, 2012–2018 • 124 episodios, 2004, 2001, 2012","Reparto, Producción, Dirección"
Keegan-Michael Key,1971,Ganó 1 premio Primetime Emmy,"Keanu, Wonka, Super Mario Bros.: La película, Vamos de polis","Reparto, Guion, Producción"
Andrew Rannells,1978,Nominado,"Un pequeño favor, The Prom, El becario, Despedida de soltera","Reparto, Producción, Equipos adicionales"
Ariana DeBose,1991,Ganó 1 premio Óscar,"West Side Story, Wish: El poder de los deseos, Hamilton, Argylle","Reparto, Dirección, Guion"
Jo Ellen Pellman,octubre,Nominado,"The Prom, 1923, 2022–2023 • 3 episodios, Bree","Reparto, Guion, Producción"
Tracey Ullman,1959,Ganó 7 premios Primetime Emmy,"El show de Tracey Ullman, 1987–1990 • 71 episodios, 2000, 1994, 2014","Reparto, Guion, Producción"
Kevin Chamberlin,1963,No tiene Oscar,"Camino a la perdición, Modern Family, 2015 • 1 episodio, Frank, Charles Weiss","Reparto, Dirección, Guion"
Bobby McGruther,Desconocido,Nominado,"The Bunny Man, Blue Beetle, One More Thing, Billy Gregor","Reparto, Dirección, Guion"
Amandalyn McLellan,Desconocido,No tiene Oscar,"Fair Haven, 3,9, Corto, 8,6","Reparto, Efectos especiales, Producción"
Brian McGurk,Desconocido,Nominado,"Fair Haven, Bearded Ginger, Detective Stone, Wilson Josephs","Reparto, Guion"
Bailey Smart-Zimmerman,Desconocido,No tiene Oscar,"Fair Haven, 6,1, Corto, 3,5","Reparto, Efectos visuales, Equipos adicionales"
Amanda Carroll Ellis,Desconocido,Nominado,Fair Haven,Reparto
Lawrence Kochoa,Desconocido,No tiene Oscar,"Billboard, Street Justice: The Bronx, 2017 • 1 episodio, Fair Haven","Reparto, Producción, Guion"
Mariann Cook,Desconocido,Nominado,Fair Haven,Reparto
Ervin Melara,Desconocido,Nominado,"Fair Haven, Gregorio, That Thing I Had That One Time",Reparto
Jonn Kroljic,Desconocido,Nominado,"Fair Haven, 6,1",Reparto
Chris Alleman,Desconocido,Nominado,"Fair Haven, Vape Cloud, Comedy Announcer(voz)",Reparto
Riccardo Scamarcio,1979,No tiene Oscar,,"Reparto, Producción, Guion"
Valerio Mastandrea,1972,No tiene Oscar,,"Reparto, Producción, Guion"
Laura Chiatti,1982,No tiene Oscar,,"Reparto, Banda sonora"
Valentina Cervi,1974,No tiene Oscar,,"Reparto, Sonido, Equipos adicionales"
Marina Foïs,1970,No tiene Oscar,,"Reparto, Equipos adicionales, Guion"
Euridice Axen,1980,Nominado,,Reparto
Massimiliano Gallo,1968,No tiene Oscar,,"Reparto, Dirección"
Ascanio Balbo,1987,No tiene Oscar,,Reparto
Alessia Giuliani,Desconocido,No tiene Oscar,,Reparto
Alessandro Fiorucci,Desconocido,Nominado,,"Reparto, Dirección, Guion"
Margo Rowder,septiembre,No tiene Oscar,,"Reparto, Music Artist, Guion"
Garrett Patrick Kirby,Desconocido,No tiene Oscar,,"Reparto, Producción"
Caden Andrews,Desconocido,No tiene Oscar,,Reparto
Teon Kelley,Desconocido,No tiene Oscar,,Reparto
Sarah Bellini,1992,No tiene Oscar,,"Reparto, Producción, Equipos adicionales"
Carolina Romero,mayo,No tiene Oscar,,Reparto
Angie Lambrano,Desconocido,Nominado,,Reparto
Inna Tevenova,Desconocido,Nominado,,Reparto
Merita Jusufi,Desconocido,Nominado,,Reparto
Anna Luraschi,Desconocido,Nominado,,Reparto
Lorenzo Mennini,Desconocido,Nominado,,Reparto
Tyler,1986,No tiene Oscar,,"Reparto, Dirección, Producción"
Mireia Oriol,Desconocido,No tiene Oscar,,"Reparto, Banda sonora"
Kenan Yetnayet,Desconocido,Nominado,,Reparto
Huida del Nido,Desconocido,No tiene Oscar,Sin datos,2020
Omri Rose,Desconocido,No tiene Oscar,,"Reparto, Guion, Producción"
Yaron Shavit,Desconocido,No tiene Oscar,,"Reparto, Guion, Producción"
Aaron Vodovoz,Desconocido,No tiene Oscar,,Reparto
Achan and Ezra,Desconocido,Nominado,Sin datos,2020
Violetta Pioro,Desconocido,No tiene Oscar,,"Reparto, Guion, Producción"
Matthew Binkley,Desconocido,No tiene Oscar,,"Reparto, Producción"
Brock Johnson,Desconocido,No tiene Oscar,,Reparto
Miriam McDonald,1987,No tiene Oscar,,Reparto
Franco Lo Presti,1990,No tiene Oscar,,Reparto
Andrea Gallo,Desconocido,Nominado,,"Reparto, Equipos adicionales, Producción"
Leo Orgil,Desconocido,Nominado,,Reparto
Addison Tymec,Desconocido,No tiene Oscar,,Reparto
Pablo R. Montenegro,Desconocido,No tiene Oscar,,"Dirección de la segunda unidad o asistencia a dirección, Reparto, Equipos adicionales"
Alex Falcon,1989,No tiene Oscar,,"Reparto, Dirección de fotografía y cámara, Producción"
David Barr,1968,No tiene Oscar,,"Reparto, Producción, Guion"
Angus Macfadyen,1963,No tiene Oscar,,"Reparto, Guion, Dirección"
Kristen Dalton,1973,No tiene Oscar,,"Reparto, Producción"
Yoo Yeon-seok,1984,No tiene Oscar,,"Reparto, Banda sonora"
Jung Woo-sung,1973,No tiene Oscar,,"Reparto, Producción, Equipo ejecutivo"
Scott Lowell,febrero,No tiene Oscar,,"Reparto, Guion, Producción"
Yum Jung-ah,1972,No tiene Oscar,,"Reparto, Banda sonora"
Kwak Do-won,1974,No tiene Oscar,,Reparto
Colby French,1972,No tiene Oscar,,"Reparto, Transporte"
Ahn Nae-sang,1964,No tiene Oscar,,Reparto
Daniel C Kennedy,Desconocido,No tiene Oscar,,"Reparto, Guion, Producción"
Jeff Profitt,Desconocido,No tiene Oscar,,"Producción, Dirección, Reparto"
Kelsey Delemar,Desconocido,No tiene Oscar,,Reparto
