Nombre,Año de nacimiento,Óscar,Famoso por,Profesión
Eric Willis,Desconocido,Nominado,"['Wholesome Grove', 'Corto', 'Dirección', 'Dirección']","Dirección, Guion, Producción"
Manuel Lourenzo,1943,No tiene galardones ni nominaciones,"['Mareas vivas', '1998–2002 • 98 episodios', '1995', '2019', '2003']",Reparto
Amy Seimetz,1981,Nominado,"['Upstream Color', ""Sun Don't Shine"", 'Cementerio de animales', 'The Girlfriend Experience', '2016 • 5 episodios']","Reparto, Guion, Producción"
John Lithgow,1945,Nominado,"['El mundo según Garp', 'Máximo riesgo', 'Las aventuras de Buckaroo Banzai', 'Cosas de marcianos', '1996–2001 • 139 episodios']","Reparto, Producción, Guion"
Jeté Laurence,2007,Nominado,"['Cementerio de animales', 'El muñeco de nieve', 'The Americans', '2015 • 1 episodio', '2018']",Reparto
Hugo Lavoie,Desconocido,No tiene galardones ni nominaciones,"['Cementerio de animales', 'Viking', 'La Cordonnière', 'STAT', '2022 • 3 episodios']",Reparto
Lucas Lavoie,Desconocido,No tiene galardones ni nominaciones,['Cementerio de animales'],Reparto
Obssa Ahmed,Desconocido,No tiene galardones ni nominaciones,"['Cementerio de animales', 'The Expanse', '2018 • 2 episodios', 'Reparto(voz)', 'Sil']","Reparto, Efectos visuales"
Alyssa Brooke Levine,Desconocido,No tiene galardones ni nominaciones,"['Cementerio de animales', 'Un monde à part', '2006 • 2 episodios', 'Lindsay(as Alyssa Brooke)', 'Self']",Reparto
Maria Herrera,1969,No tiene galardones ni nominaciones,"['Ser padre', 'Cementerio de animales', 'El nuevo empleado', '2022 • 1 episodio', 'Leda Cervantes']","Reparto, Producción"
Frank Schorpion,Desconocido,No tiene galardones ni nominaciones,"['La llegada', 'El proyecto colibrí', 'Víctima del poder', 'Stonewall']","Reparto, Equipos adicionales, Producción"
