ID,Nombre,Tipo,Director,Guionista1,Guionista2,Duración,Puntuación,Argumento
tt10045134,Inside the Walls,Movie,Alexei Kostin,Olga Ivanova,Alexei Kostin,1h 32min,No especificado,"A woman named Sasha has not returned to her native home for two decades. But she must return, due to the tragic and mysterious death of her parents."
tt10071582,Utanför,Short,Rasmus Jonsson,No especificado,No especificado,No especificado,No especificado,No especificado
tt10071946,Bedtime,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10073818,Rabbit's Blood,Short,Camden Ferrell,No especificado,No especificado,No especificado,No especificado,No especificado
tt10037098,Brainstorm,Short,Trent Welstead,No especificado,No especificado,No especificado,No especificado,No especificado
tt10050010,So You Want To Be A Writer?,Short,Samuel McIntosh,No especificado,No especificado,No especificado,No especificado,No especificado
tt10084288,Blue Blood,Short,Amadeo Rivas,Rachel Huron,Amadeo Rivas,7min,No especificado,A drama comedy about a Detective who struggles to spend time with his wife while juggling a high profile murder case.
tt10101516,Ploy,Short,Karan Chawla,No especificado,No especificado,No especificado,No especificado,No especificado
tt10148098,La frontière,Short,Valérian Cadici,No especificado,No especificado,No especificado,No especificado,No especificado
tt10155592,The Last Paradox,Short,Mohsen Heydarpour,Ali Kharazmi,Mohammad Heydarpour,32min,No especificado,The paradox is not always dangerous Sometimes he can take risks and lives.
tt10196218,Ramp,Short,Aria Khabir,No especificado,No especificado,No especificado,No especificado,No especificado
tt10213512,Songez au Solide,Movie,Geoffroy Muller,No especificado,No especificado,No especificado,No especificado,No especificado
tt10223518,El Casero,Short,Alejandro Cervantes Polanco,Emiliano López Pereda,Alejandro Cervantes Polanco,5min,No especificado,
tt10235536,L'Antichambre,Short,Babor Lelefan,Babor Lelefan,Vincent Tondeur,6min,No especificado,"Phillipp Morraton, an adventurer who seeks answers about his terrible childhood tragedy, get lost in Waltimut forest. The strange vampires that live in a castle there will play with his nerves."
tt10245946,Man on the Sand,Short,Arri Biker,No especificado,No especificado,No especificado,No especificado,No especificado
tt0069049,The Other Side of the Wind,Movie,Orson Welles,Orson Welles,Oja Kodar,2h 2min,6.7,Un director de Hollywood regresa tras un tiempo en las sombras para completar su trabajo en una innovadora película.
tt0192528,Reverse Heaven,Movie,Stuart Paul,No especificado,No especificado,No especificado,No especificado,No especificado
tt0276568,To Chase a Million,Movie,Pat Jackson,Richard Bradford,Ron Randell,1h 37min,6.6,"A lone shark bounty hunter pits himself against secret agents from three countries. The prize: a million bucks in cash for vital state secrets. A little talky in spots, but overall not bad. Color. 16mm."
tt0328810,Aamaar Bhuvan,Movie,Mrinal Sen,Afsar Ahmed,Mrinal Sen,1h 42min,7.8,"A triangle love story between viz Meher (Kaushik Sen), Noor (Saswato Chaterjee) and Sakina (Nandita Das)."
tt0360556,Fahrenheit 451,Movie,Ramin Bahrani,Ray Bradbury,Ramin Bahrani,1h 40min,5.0,"En un aterrador futuro higienizado, el joven Guy Montag, cuyo trabajo como bombero es quemar libros, cuestiona sus acciones después de conocer a una joven, y se empieza a rebelar contra la sociedad."
tt0365545,Nappily Ever After,Movie,Haifaa Al-Mansour,Adam Brooks,No especificado,1h 38min,6.4,"Violet Jones, cansada de esperar a que su novio de mucho tiempo le proponga matrimonio, rompe con él. Pero antiguos sentimientos, y sin duda un montón de celos, surgen cuando pronto comienza a salir con otra mujer."
tt0427543,A Million Little Pieces,Movie,Sam Taylor-Johnson,Aaron Taylor-Johnson,No especificado,1h 53min,6.2,Un joven escritor adicto a las drogas se somete a dos meses de agonizante desintoxicación en Minnesota.
tt0972544,Back Roads,Movie,Alex Pettyfer,Tawni O'Dell,Adrian Lyne,1h 41min,6.3,"En 1993, el padre de Harley es asesinado a tiros y su madre va a prisión. Tiene que ganar dinero y cuidar a sus 3 hermanas menores. A lo largo de 2 años, los secretos familiares se revelan lentamente. ¿Será suficiente un buen terapeuta?"
tt0111414,A Thin Life,Movie,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt0859635,Super Troopers 2,Movie,Jay Chandrasekhar,Jay Chandrasekhar,Kevin Heffernan,1h 40min,6.0,"Cuando surge una disputa fronteriza entre EEUU y Canadá, los Súper Tropas tienen la tarea de establecer una estación de Patrulla de Caminos en el área disputada."
tt10003672,Spice du Jour - Rencontre avec Nathan Bright B.C,Short,Olivier Aubé,No especificado,No especificado,No especificado,No especificado,No especificado
tt10003376,Crossing: 2036,Short,Max Kleinman,Miriam Macip,Nathan Streifel,5min,No especificado,"After a long journey through the harsh desert, a young woman finds herself suddenly alone, and in the enemy's sights."
tt10018116,Stage 3,Movie,Erico Alessandro,Erico Alessandro,No especificado,1h 30min,No especificado,
tt10028626,Runner,Short,Martin Hilligoss,No especificado,No especificado,No especificado,No especificado,No especificado
tt10009596,Moonwalk with Me,Short,So Young Shelly Yo,No especificado,No especificado,No especificado,No especificado,No especificado
tt10015262,Stuck,Short,Sherry Rashidan,No especificado,No especificado,No especificado,No especificado,No especificado
tt10015572,Laws of Being a Socialite,Short,Chandrika Lucienne Metivier,No especificado,No especificado,No especificado,No especificado,No especificado
tt10045172,Assunta,Short,Ester Ivakic,No especificado,No especificado,No especificado,No especificado,No especificado
tt10047028,Pingpang,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10055934,Lost,Short,Jaroslav Shvets,No especificado,No especificado,No especificado,No especificado,No especificado
tt10073252,Hopscotch,Short,Sara Antonova,Charlotte Anne Carrick,Camila Rodo Carvallo,9min,No especificado,"Robin, a 10 year old boy with a wild sense of imagination, has to save his terminally ill mother by getting her pills back from the Plague Doctor."
tt10074248,Out in the Woods,Short,Simon Doutreleau,No especificado,No especificado,No especificado,No especificado,No especificado
tt10074540,Paracelso,Movie,Madness Bros,No especificado,No especificado,No especificado,No especificado,No especificado
tt0862930,Dukun,Movie,Dain Said,Al Jafree Md Yusop,Huzir Sulaiman,1h 48min,6.6,"In a case that had the nation riveted and human rights organizations the world over up in arms due to the death sentence handed out to the accused, comes a tale about the lure of riches, power, eternal youth, beauty and the blood one must spill to achieve this."
tt10005004,Nekro,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10004942,Cut,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
